id,name,cultural_enrichment,approximate_cost,location,season,activity_type,population_density,terrain_type,camping_available,network_availability,description
1,Золотое кольцо России,1,15000.00,Центральная Россия,summer,Культурный,50,Равнинная,0,90,"Погрузитесь в богатую историю и культуру древних русских городов, таких как Владимир, Суздаль и Ярославль. Вы посетите величественные соборы, монастыри и музеи, познакомитесь с традиционными ремеслами и попробуете местную кухню. Это путешествие позволит вам прикоснуться к истокам русской цивилизации и насладиться красотой архитектурных шедевров."
2,Байкальское приключение,0,25000.00,Байкал,summer,Приключенческий,10,Горная,1,60,"Отправьтесь в захватывающее приключение на легендарное озеро Байкал. Вас ждут треккинги по живописным горным тропам, рафтинг по бурным рекам и кемпинг в нетронутой природе. Вы сможете насладиться потрясающими видами, чистейшим воздухом и возможностью наблюдать за редкими животными в их естественной среде обитания."
3,Крымский край,1,20000.00,Крым,summer,Пляжный,80,Горная,0,95,"Откройте для себя уникальное сочетание пляжного отдыха и культурного наследия в Крыму. Вы сможете понежиться на солнечных пляжах Черного моря, совершить увлекательные экскурсии по древним городам, таким как Севастополь и Херсонес, и посетить живописные горные районы. Крым предлагает разнообразие ландшафтов, богатую историю и гостеприимство местных жителей."
4,Камчатские гейзеры,0,40000.00,Камчатка,summer,Приключенческий,5,Вулканическая,1,30,"Отправьтесь в незабываемое путешествие по одному из самых удаленных и нетронутых уголков России - полуострову Камчатка. Вас ждут восхождения на действующие вулканы, наблюдение за извержениями и гейзерами, а также возможность увидеть уникальную фауну региона. Это экстремальное приключение подарит вам незабываемые впечатления и позволит прикоснуться к силе природы."
5,Северное сияние,0,30000.00,Мурманская область,winter,Приключенческий,20,Тундра,1,70,"Отправьтесь в захватывающее путешествие на Крайний Север России, чтобы стать свидетелем одного из самых впечатляющих природных явлений - северного сияния. Вы также познакомитесь с культурой и бытом коренных народов Севера, таких как саамы, научитесь управлять собачьими упряжками и насладитесь потрясающими видами заснеженной тундры."
6,Казанское наследие,1,18000.00,Казань,summer,Культурный,90,Равнинная,0,100,"Погрузитесь в богатую историю и культуру Казани, одного из самых ярких городов России. Вы посетите величественный Казанский Кремль, мечети и православные церкви, познакомитесь с татарской культурой и традициями, а также сможете насладиться местной кухней и ремеслами. Казань - это уникальное сочетание восточных и европейских влияний, которое оставит незабываемые впечатления."
7,Курильское кольцо,0,55000.00,Курильские острова,summer,Приключенческий,2,Вулканическая,1,20,"Совершите незабываемое путешествие по Курильским островам, где вас ждут потрясающие виды на действующие вулканы, горячие источники и нетронутую природу. Вы сможете наблюдать за китами и морскими львами, посетить заповедники и познакомиться с уникальной флорой и фауной региона."
8,Камчатский полуостров,1,80000.00,Камчатский край,summer,"Экотуризм, Наблюдение за дикой природой, Активный отдых",1,"Вулканы, Горы, Побережье",1,60,"Камчатский полуостров - это уникальный регион, известный своими действующими вулканами, горячими источниками, медведями и другими дикими животными. Здесь вы сможете совершить незабываемые походы, понаблюдать за китами и птицами, а также познакомиться с культурой коренных народов Камчатки."
9,Санкт-Петербург,1,30000.00,Ленинградская область,summer,"Культурный, Экскурсии, Архитектура",3800,Равнинная,0,95,"Санкт-Петербург - это культурная столица России, известная своими величественными дворцами, соборами, музеями и парками. Во время поездки вы сможете погрузиться в атмосферу имперского великолепия, посетить Эрмитаж, Петергоф и другие знаковые достопримечательности города."
10,Плато Путорана,1,100000.00,Красноярский край,summer,"Экотуризм, Пешие походы, Наблюдение за дикой природой",0,"Горы, Озера, Водопады",1,30,"Плато Путорана - это удивительный природный регион, расположенный на севере Красноярского края. Здесь вы сможете увидеть величественные горные хребты, глубокие каньоны, бесчисленные озера и водопады. Это идеальное место для любителей нетронутой природы и активного отдыха."
